cleaned_review,pos_tags
zwina bzaf,ADJ NOUN
jyd,ADJ
ordinaire,ADJ
zwina,ADJ
la taille medium,DET NOUN ADJ
made in espane,VERB ADP PROPN
petit mais efficace,ADJ CCONJ ADJ
mzyanaa,ADJ
la qualite de proudectoin pas bien 100 ,DET NOUN ADP NOUN ADV ADJ NUM NUM
zwin 3jbni,ADJ NUM
fih sda3 o kayt3tel bzaf,VERB NOUN CCONJ VERB NOUN ADV
mmtz,ADJ
mzn kaymexi tout,ADJ VERB PRON
bon article,ADJ NOUN
tooooop,ADJ
parfait bon plan,ADJ NOUN NOUN
kthez chi 2kg w ktze3ze3 mais supportable,VERB DET NUM NOUN CCONJ VERB ADV
je le recommande,PRON PRON VERB
je recommande,PRON VERB
pratique,ADJ
mnsb ljmy` 'shy,ADJ NOUN PUNCT NOUN
top,NOUN
shkr,NOUN
design,NOUN
toop sara7a,ADJ NOUN ADV
drya ktkhsar,NOUN VERB
mzyn mzyn,ADJ ADJ
zwina mais man a7san dik li rejal dyalha en inox machi en plastique,ADJ ADV ADV ADJ ADJ NOUN ADP PROPN ADP NOUN CCONJ ADP NOUN
tres bon rapport qualiteprix,ADV ADJ NOUN NOUN
geniaaaal,ADJ
zwina kathan mazyan,ADJ ADV ADJ
mini mixeur,ADJ NOUN
taille,NOUN
saraha zwin bzf merci jumia,ADV ADJ ADJ NOUN ADV PROPN
livraison tres rapid vendeur tres recommender,NOUN ADV ADJ NOUN ADV ADJ VERB
mezyana ila 7aftti 3liha mais kaytsddaw liha les vis li bgha 7aja mli7a yakhoud inox,ADJ CCONJ VERB PRON ADV CCONJ VERB PRON DET NOUN PRON VERB NOUN PRON VERB DET NOUN ADJ NOUN PUNCT ADJ NUM NOUN
toooop,ADJ
mazyan,ADJ
zwin bzzzzzzf,ADJ ADV
joli merci,ADJ NOUN
ghzala,ADJ
zwin sara7a daghya kaysakhan lma walakin kayrbi lkalkir o hadi 7aja 3adiya,ADJ ADV ADV VERB NOUN ADV NOUN NOUN ADP NOUN CCONJ VERB ADJ ADJ CCONJ DET NOUN ADJ NOUN PUNCT
fih sda3,NOUN ADJ
satisfaction totale,NOUN ADJ
parfait,ADJ
