cleaned_review,rating,sentiment
attention smart mais pas android,4.0,positive
excellent qualite prix,5.0,positive
mzyanz,5.0,positive
koooooooooooooo,1.0,negative
ma 3jebatnich,1.0,negative
il est le milleur,4.0,positive
options top,5.0,positive
bSrH@ tlfz@ w`r@ Swt wSwr@ mqrn@ lmrkt l'khr~ shkra jwmy,5.0,positive
ca marche,4.0,positive
bon tv,5.0,positive
pas mal,3.0,positive
tlfz khll,1.0,negative
tv 32 buy sat,4.0,positive
la qualite est excellente,4.0,positive
sora mcha allah,5.0,positive
10005,5.0,positive
super,5.0,positive
working perfectly fine ghir howa khfif bzaf,5.0,positive
bon article,5.0,positive
super,4.0,positive
zwina bzf,5.0,positive
ry'` jd,5.0,positive
biennnnn,4.0,positive
jhz b's,3.0,positive
mabihch matikhdamch netflex,4.0,positive
jaime merci,4.0,positive
la lumiere led est belle,5.0,positive
je recommande,5.0,positive
top top,5.0,positive
fonctionnement super,5.0,positive
super tele,5.0,positive
ahsan tele,5.0,positive
clairr image mais pas grand angle,5.0,positive
yes satisfait du produit,5.0,positive
meilleur camera de surveillance,5.0,positive
mantouj ra2i3,5.0,positive
jwd@ sy jd,1.0,negative
satisfait,5.0,positive
kbiiir la 3ala9a mea lphoto,2.0,negative
parfait,5.0,positive
satisfait,5.0,positive
tooop,5.0,positive
magnifique image et bon son,5.0,positive
bon rapport quality prix,4.0,positive
jaime,5.0,positive
dashcam 3 camera,3.0,positive
parfait,4.0,positive
i liked the ring light thank you jumia,5.0,positive
khdama mlih,5.0,positive
bne qualite,5.0,positive
tv zwina khfifa,4.0,positive
zwina 3jbatni,5.0,positive
satisfait,3.0,positive
yallah bghit ndirha frassi ou hia t9ete3 lia semta mauvaise affaire,2.0,negative
tmm,5.0,positive
gooood,5.0,positive
top produits,5.0,positive
produit nul,1.0,negative
mabihch,5.0,positive
top zwine,5.0,positive
t9dilke l4arade walakine frajile o9sir chi 7aja mat3awlchi bzaf walakine katb9a mzn 7itach r5issa,4.0,positive
ma s7i7ch bzaf walakin 9adi gharad,3.0,positive
great,5.0,positive
pas mal,4.0,positive
lbs,2.0,negative
faible son,1.0,negative
pratique,5.0,positive
merci de votre collaboration tres cordialement fouad chadli,5.0,positive
efficace,5.0,positive
produit mezyan bhal li f la photo kaliter mezyana t9edr tza3m,5.0,positive
qualite,5.0,positive
jyd jyd,5.0,positive
recommande,5.0,positive
shkr jwmy khdm@ ltwSyl mmtz@ lmntwjt jwd@ `ly@,5.0,positive
mshy shy Hjh,3.0,positive
assez pratique,4.0,positive
wa zbi khdma tzb,1.0,negative
nskh@ Tbq lSl,5.0,positive
bien mais fragile,3.0,positive
meilleur,5.0,positive
je le recommande,4.0,positive
pas mal,4.0,positive
produit pas mal pour mes besoin,4.0,positive
produit mal,1.0,negative
3aadi machi top,4.0,positive
nSH,5.0,positive
7sen men flosso,5.0,positive
bien compatible,4.0,positive
dorigine,5.0,positive
j adore li kayn f tswira kayn vrai b stand b kolchi ghir la carte sons li m3ah makhdamach ou khadk darori carte sons 48v bach ikhdm lmic b qualite zwina,5.0,positive
kollchi kima f la photo 4i la carte son s4ira usb fiha sda3 bzzzf 4atkhass had mic carte son scarlett ola khedmo nichan m3a pc kaykhedam chokran la livraison f lwa9et,4.0,positive
tres fragile,2.0,negative
nh ry'`,5.0,positive
bienbien,4.0,positive
facile a programmer,5.0,positive
machi nafs la3bar 15m15m liwsalni,2.0,negative
livraison rapide,5.0,positive
bon service,5.0,positive
bon,5.0,positive
bdwn t`lyq,5.0,positive
excellent,5.0,positive
bon article,5.0,positive
zwina,5.0,positive
parfait,5.0,positive
il est bien,5.0,positive
libgha yakhdo rah sghir osal7 ghir l7wayj sghar,5.0,positive
top produit,5.0,positive
top top,5.0,positive
ok ok,3.0,positive
a part ca okay,4.0,positive
marche tres bien,5.0,positive
super,5.0,positive
ok,5.0,positive
jyd,4.0,positive
top,5.0,positive
ne plus le commercialiser,1.0,negative
bourrage frequent,3.0,positive
la livraison kant f short time quality tahya mzyana i love it,5.0,positive
je recommande,5.0,positive
il est bien jaime,5.0,positive
mezyan,3.0,positive
tatssahal alik lakhadma,4.0,positive
rien,5.0,positive
je le recommande,5.0,positive
product tres bonne,4.0,positive
5 etoiles,5.0,positive
merci jumia,5.0,positive
le tactile fonctionne pas,1.0,negative
pas mal,5.0,positive
bad gamme,1.0,negative
pas mal,3.0,positive
laudio est bas,3.0,positive
jaime,5.0,positive
jadooore,5.0,positive
jadore,5.0,positive
triped qualite na9sa,1.0,negative
nqS ltmn,4.0,positive
mziwna dit 2 la 2eme ring light mafihaxi ga3 accesoire dyal tilifon,5.0,positive
jwd@ rdhyy'@,1.0,negative
pratique,3.0,positive
its not from neewer but its good,5.0,positive
mqbwl,3.0,positive
it does its work mzian,5.0,positive
thanks,5.0,positive
produit mezyan fih ghir laffichage lmouchkil lwa7id ila b33tti tilifoun makaykhdmch mezyan0 kaykoun sawt m decaler si non ila kan telephone 9rib l tlfaza kaykhdm mezyan,3.0,positive
nw` mqbwl,3.0,positive
nule ne marche pas,1.0,negative
satisfait,5.0,positive
le micro est excellent qualite magnifique,5.0,positive
pas mal,3.0,positive
pas mal mais fragile,3.0,positive
zwin wkhdam mzyan je recommande,5.0,positive
`mly jyd,5.0,positive
satisfait,5.0,positive
b's,3.0,positive
khdam mz1,5.0,positive
quality xwiya 3ayana walakin 3la hsab taman howa hadak li khayb fihom howa l3adasat les lentille lenses m3adlin m plastique kayn li kijibo dawkha,3.0,positive
pas mal,2.0,negative
walo la 3ala9a akhir commande andiro 3ndkom,5.0,positive
bon article,4.0,positive
fixation facile,5.0,positive
qualite mzyana,4.0,positive
mzyana w khdama parfaitement,5.0,positive
tres bien,5.0,positive
je recommande,3.0,positive
fragile,1.0,negative
,4.0,positive
nqS lwlb,3.0,positive
nulll,1.0,negative
produit zwin o nadii canadii,5.0,positive
jyd jyd,4.0,positive
telecommande khdama mzyan 1010,5.0,positive
mantouje zwin bzf obhal photo ms makinsh cable dalimentation o telecommandmerci jumia,5.0,positive
rapport qualite prix,5.0,positive
nSH,5.0,positive
nadi canadi,5.0,positive
as described,5.0,positive
ry'` jd,5.0,positive
recommande,4.0,positive
bzzz bzzz,1.0,negative
ry'` jd,5.0,positive
thank you,5.0,positive
super marche bien,5.0,positive
conforme,5.0,positive
qualite bon,5.0,positive
tres fragile,1.0,negative
good produit,5.0,positive
amusant,5.0,positive
bon produit,5.0,positive
,5.0,positive
bien,5.0,positive
camera zweena bzzzf,5.0,positive
jyd yshtGl,4.0,positive
conforme,4.0,positive
mntwj Sly mqld,1.0,negative
lmic ja bla pop filter o bla carte son,2.0,negative
excellent produit,5.0,positive
nuullll,1.0,negative
bs,5.0,positive
