review,rating
رائع للغاية افكر في اقتناء واحد اخر انشالله,5.0
Très bon téléphone par rapport son prix,4.0
merci bcp,5.0
Mais basma na9sa bzzf o rezo 9lil,4.0
pas mal,3.0
J'ai bien aimé ce smartphone,5.0
"je regrette de l avoir acheter, il se bloque souvent o bien il s'éteint et pour redémarrage il faut attendre au moins 30min. franchement c est nul",1.0
Super ce téléphone,5.0
موصفات الجهاز جيدة مقارنة مع الثمن,4.0
Téléphone sans problème,4.0
Téléphone parfait mais sans chargeur,4.0
il n'est pas mentionne que le chargeur n'est pas inclut dans la boite,3.0
كان يجب الإشارة بشكل واضح أن الهاتف لا يتوفر على شاحن,4.0
Not the real product this one says it was made in vietnam not in korea the one made in korea is the true one i guess!,3.0
Bon téléphone Belle couleur,4.0
Pas mal,4.0
Mzn,5.0
هاتف جيد وجميل وكذلك بثمن مناسب,5.0
بعد استعماله لمدة شهر توقفت ميزة الوافاي يجب دائما اعادة تشغيل الحهاز للاسف,3.0
Bon product pour utilisation Facebook WhatsApp YouTube pa's plus,4.0
Avec celui la tu trouves ce que tu veux,5.0
Bon rapport qualité prix,5.0
منتج جميل انصح بشرائه شكرا جوميا❤️,5.0
Un grand téléphone avec petit prix,5.0
Qualité/prix,5.0
زيادة جودة المنتج,4.0
Fragile mais bon qualité,4.0
الصوت خاصة,5.0
Conforme à la commande,5.0
bonne qualité,5.0
"je le porte depuis 3jours, j'adore, bonne qualité, je recommande",5.0
Everything is good,5.0
"Sewet mjehed we zwine, saraha mandemtch 3lih",5.0
Taman r5is bzaf bnusba l qualité rah 3ndi kter mne 3 mois kayb9a xinrat 3 hour bla maytcharja sot zwin ou wsli drya,5.0
Je recommande excellent article,5.0
رائع جدا,5.0
هذا المنتج رائع جدا و استعملته لمدة طويلة و لازالت جوده ممتازة رغم أنه سقط كم من مرة,5.0
Bien produit ????????????,5.0
مناسب إلى حد ما,4.0
????????????????????????????????????,5.0
"Son de bonne qualité, possibilité de gérer l'équaliseur via une application sur mobile. Casque agréable à porter. la FM et la lecture de MP3 via une micro SD sont un plus non négligeable",5.0
المنتج عموما لا بأس به فقط هناك بعض الضجيج في الجهة اليسرى,3.0
كيت ناضيين اخوتي غير ديوهم وثمن ناضي,5.0
ناضي,5.0
Toooop,5.0
ممتاز .. اوصي به,5.0
C'est trop bon,5.0
Pas mal,4.0
"Produit conforme, bon rapport qualité prix",4.0
"Bon qualité, les airpods ont une normale taille , J'ai pas donné 5 etoiles car la pochette est un peu grande",4.0
مزيانين اكيشدو شارج,5.0
Top tres toooop,5.0
Bonne qualité,5.0
sot machi tal tma,3.0
رائع للغاية افكر في اقتناء واحد اخر انشالله,5.0
Très bon téléphone par rapport son prix,4.0
merci bcp,5.0
Mais basma na9sa bzzf o rezo 9lil,4.0
pas mal,3.0
J'ai bien aimé ce smartphone,5.0
"je regrette de l avoir acheter, il se bloque souvent o bien il s'éteint et pour redémarrage il faut attendre au moins 30min. franchement c est nul",1.0
Super ce téléphone,5.0
موصفات الجهاز جيدة مقارنة مع الثمن,4.0
Téléphone sans problème,4.0
Téléphone parfait mais sans chargeur,4.0
il n'est pas mentionne que le chargeur n'est pas inclut dans la boite,3.0
كان يجب الإشارة بشكل واضح أن الهاتف لا يتوفر على شاحن,4.0
Not the real product this one says it was made in vietnam not in korea the one made in korea is the true one i guess!,3.0
Bon téléphone Belle couleur,4.0
Pas mal,4.0
Mzn,5.0
هاتف جيد وجميل وكذلك بثمن مناسب,5.0
بعد استعماله لمدة شهر توقفت ميزة الوافاي يجب دائما اعادة تشغيل الحهاز للاسف,3.0
Bon product pour utilisation Facebook WhatsApp YouTube pa's plus,4.0
Avec celui la tu trouves ce que tu veux,5.0
Bon rapport qualité prix,5.0
منتج جميل انصح بشرائه شكرا جوميا❤️,5.0
Un grand téléphone avec petit prix,5.0
Qualité/prix,5.0
زيادة جودة المنتج,4.0
Fragile mais bon qualité,4.0
الصوت خاصة,5.0
Conforme à la commande,5.0
bonne qualité,5.0
"je le porte depuis 3jours, j'adore, bonne qualité, je recommande",5.0
Everything is good,5.0
"Sewet mjehed we zwine, saraha mandemtch 3lih",5.0
Taman r5is bzaf bnusba l qualité rah 3ndi kter mne 3 mois kayb9a xinrat 3 hour bla maytcharja sot zwin ou wsli drya,5.0
Je recommande excellent article,5.0
رائع جدا,5.0
هذا المنتج رائع جدا و استعملته لمدة طويلة و لازالت جوده ممتازة رغم أنه سقط كم من مرة,5.0
Bien produit ????????????,5.0
مناسب إلى حد ما,4.0
????????????????????????????????????,5.0
"Son de bonne qualité, possibilité de gérer l'équaliseur via une application sur mobile. Casque agréable à porter. la FM et la lecture de MP3 via une micro SD sont un plus non négligeable",5.0
المنتج عموما لا بأس به فقط هناك بعض الضجيج في الجهة اليسرى,3.0
كيت ناضيين اخوتي غير ديوهم وثمن ناضي,5.0
ناضي,5.0
Toooop,5.0
ممتاز .. اوصي به,5.0
C'est trop bon,5.0
Pas mal,4.0
"Produit conforme, bon rapport qualité prix",4.0
"Bon qualité, les airpods ont une normale taille , J'ai pas donné 5 etoiles car la pochette est un peu grande",4.0
مزيانين اكيشدو شارج,5.0
Top tres toooop,5.0
Bonne qualité,5.0
sot machi tal tma,3.0
الجودة,5.0
Conforme à la description,4.0
Makatbinch bli écouteurs Bluetooth ana y7sabli 3adyin,3.0
correcte rien a dire de plus,3.0
J’aime trop l’écouter,5.0
Nice Nice Nice Nice,3.0
Ghzalin qualité mzyana,5.0
Top,5.0
Bon produit!,4.0
"rapport ==> qualité / prix est excellent , je le recommande",5.0
Satisfaite du produit,5.0
rapport prix qualite est bon mais je pense que s^est tellement pas cher,4.0
مهم بالنسبة للثمن مزيانين,5.0
"I love the quality, so similar to the original Airpods Max, good material, good quality, good bluetooth.",5.0
Sawt mzyan walkin chargeur ga3ma khdam,3.0
Mauvaise qualite et le son n’est pas claire ainsi que la batterie ne prend pas bcp du temps,2.0
Batterie top,4.0
Wa3r bzaf,5.0
الصوت مزيان أو كيشدو الشارج كنصحكم بيهم,4.0
Pour le même prix je préfère acheter un casque Energy Sistem au moins leurs produits ont une bonne finition et un bon son... Le micro est nul sur le produit également... C'est une déception.,2.0
Good product,4.0
Rapport qualité prix bon,4.0
mauvaise qualité mauvaise affaire,1.0
Top rien à dire merci jumia,5.0
Ce sont de bon écouteurs par rapport à le prix je les conseille fortement,4.0
Bon prix bon qualité,3.0
Très bien pour le prix pour des airpods qui sont censés être des copies de chez Apple,5.0
Mauvaise qualité,2.0
Mauvaise autonomie de charge moins de 35 min,1.0
Je veus les recommander,3.0
Écouteurs nulle il ne marche pas,1.0
Laugmentation du son,2.0
Excellent produit,5.0
Pas mal,2.0
Nul il change plus vraiment déçu,1.0
صوت شي مرات كيبقا يتقطع و لكن مقارنة مع الثمن ديالو صافا,2.0
Gooood product :),5.0
Produit nul à ne pas commander,1.0
Par rapport au prix c'est bien,4.0
إنه جيد ولكن تأخر في التوصيل لكن سهل كسر يجب محافظة عليه اكتر,4.0
Tooooop,5.0
N'importe quoi,1.0
Zwin tawssil rapide o li kay9oul 3lih khayeeb raah dak chi li baghi nta machi hada howa tamano,5.0
Poor quality,2.0
Zwina bezafff Merci Jumia,5.0
Joli merci,5.0
Bien qalité livraison bien,5.0
Moyen,3.0
Parfait,5.0
tres tres tres bonne qualité je conseille,5.0
A recommander,4.0
Problème juste d'autonomie de rechage. Mais ca reste un bon rapport qualité prix,4.0
je recommande,5.0
Ergonomique,5.0
Pratique et simple pour configurer je le recommande ????,4.0
"J'ai bcp apprécié la qualité et le design, elle est très facile à paramétré et à utiliser",5.0
J ai aimé le produit correspond a la description,5.0
"Support non attaché avec le ringlight, deux produits different, Qualité 0 , supprt en plastique",1.0
Très mauvaise qualité a ne pas recommander,1.0
wa3er had l produit ghi li mabghach,5.0
Vraiment un produit nulle la3ala9a mouvais qualité,1.0
light it's cool but support not at all,3.0
Mauvaise,2.0
كنفضل تكون الجودة ماشي العكس,1.0
Rapport qualité prix bien,3.0
Bon produit,4.0
ناضين لي بغا يشريهم,5.0
اعجبني ملصق شانكس و لوفي ، هنالك مشكلة في ملصق كايدة و لاكن لا بأس????????????,5.0
منتج جميل يستحق الشراء,5.0
Pas male,5.0
j'aime ça,5.0
Bonne qualité,5.0
Ça me va,3.0
kayt9ata3 mara mara manha sot walakin 3la 3omom zwinin kay9diw kharad,3.0
شاحن الساعة ممتاز,5.0
Il ne charge pas rapidement,1.0
منتوج جيد، المايك الخارجي يعطي صوت جيد بالمقارنة بالداخلي. بالنسبة لكابل الليزيات وصل فيه مشكل، لحسن الحظ عندي واحد آخور,5.0
bon il travail bien,5.0
جودة ممتازة,5.0
Satisfait,5.0
It’s a good product,5.0
"Quoique la taille est un peu petite mais vu son prix, il fonctionne très bien et la qualité du son est assez bonne",4.0
Le son est très bien je valide,5.0
Excellent,5.0
reçu en bon etat . bonne qualité de son,5.0
لا علاقة,3.0
"Pas mal par rapport au prix, plus de 3 heures du charge , il y a un problème quand vous faites le sport . La livraison aussi mâle dans casa , j'ai attendu 5 jours . généralement il est bien .",4.0
"Top je vous recommande, bonne qualité",5.0
C'est ma deuxième commande de ce casque. Il fonctionne super bien. Très pratique pour les séances de sport avec les fonctionnalités de Bluetooth ou Carte mémoire),5.0
Très bien. MERCI BEAUCOUP,5.0
produit conforme à la description,5.0
carte originale samsung tres satisfait merci vendeur,5.0
C marche très bien,5.0
Bon produit,3.0
Produit authentique meilleure que les autres sd carte proposée par d'autres vendeurs,5.0
جودة زوينة اساط شكرا ❤️,5.0
"Mon colis a bien été livré, mais il était plein de sable sans le produit que j'ai commandé !!!",1.0
Merci jumia,5.0
Mzyanin 9/10,4.0
Super !,5.0
J'aime,5.0
Good Stickers Looks cool on my laptop ! love it. Thanks,5.0
qualité moyenne,3.0
الصور مصنوعة من الورق,1.0
تيخسرو إلى مسو الماء,2.0
Qualité bon,5.0
good product,5.0
Bonne qualité,5.0
très simple par rapport au prix,3.0
Très mauvaise qualité intenable avec la montre à jeter,1.0
Merci beaucoup,4.0
Bonne qualité,5.0
Qualité Premium,5.0
Zwiiin,5.0
bonne qualite,5.0
Qualité moyenne,4.0
"J'aime bien, rapport qualité prix bonne Sonorisation tooop Je recommande",4.0
Bon rapport qualité prix // Téléphone long,3.0
Bon produit et bon prix,5.0
telefone zwin,4.0
"C'est ma deuxième commande concernant cette marque et je ne suis pas déçue. Jumia a des prix uniques qu'on ne retrouve pas ailleurs donc je vous encourage à acheter, la qualité y est et le prix est imbattable.",5.0
مناسب سعره,5.0
Les fonctionnalités nouvelles de ce phonr,5.0
Rapport prix qualité,5.0
Pas un grand difference entre 2 gb ram ou bien 3gb,4.0
J'ai bien reçu ce que j'attendais.,4.0
لم اجد السماعات. فعلا شئ مقزز,1.0
Bon produit,5.0
"casque avec une bonne batterie, ça ne se plie pas",4.0
"les basses sont là, mais, le son est ""étouffé"". Les caches oreilles sont fait pour des petites têtes, je fais du 60 ça fait un peu mal. Produit sympa en rapport avec son prix.",3.0
Good quality,4.0
Bien je recommande,5.0
j'aime ce casque à une bonne qualité de son je le recommande,5.0
"Amazing headset , can't take it off anymore :))))",5.0
❤❤❤❤❤❤❤,5.0
Je n'ai pas beaucoup aimé,3.0
Nice but you should improve the quality,5.0
الصوت و البطاريه,5.0
Bon article,5.0
عجبني المنتج انصح به,5.0
منتوج سيئ,1.0
Commodité,5.0
جودة الصوت ، و طول البطارية/ لا يستحسن شحن الهاتف,5.0
"Love this, very good sound quality and bass support.",4.0
"bonne qualité sonore. La charge dure assez. Très rarement, des petites coupures qui durent des secondes.",4.0
C’est bon,4.0
شكرا جومية الحمد لله تعاملكم جيد جداً اتمنا لكم التوفيق يارب ودمتم سالمين,4.0
Bon produit,5.0
M9wdin gha howa 58 li wslatni wlkn rah nadin,5.0
مزيونين ولكن كاليطي ناقصة,3.0
Merci bon produit,5.0
أنصح بتجربتهم جودة عالية جدا,5.0
Super produit Merci jumia,5.0
Nice service,5.0
That they it can charge my phone,5.0
"Bonjour, J'adore votre service et votre rapidité ????????",5.0
Bon Rapport qualite prix,4.0
"Mauvaise qualité de son, la boîte se détruit très facilement",1.0
Très mauvais je déconseille????,1.0
!!!!j'aime Ça¡¡¡¡,5.0
Pas mal,2.0
Formidable,5.0
"Le son n'est pas très fort, mais ils sont de qualité et confortable.",3.0
صوت جميل و البطاريه سريعة شحن تبقى لوقت طويل و ايضا شكل سماعات مقبول,5.0
tres bien,5.0
"Sound okay but sit a little big in the ears, also the bluetooth does't connect well especialy when using movie apps or youtube",3.0
زوينين,5.0
"C’est pas ceux sur la photo, en plus ils sont vraiment petits. Et les images sont pris de certains moments de l’anime et certaines sont trop moches",3.0
sghar bzaf apparemment la photos o description,1.0
عجبوني,4.0
Petite taille mais bonne qualité,4.0
الكاسك خديتو لقيتو مهرس ،معاملة سيئة جداا,1.0
Nadii,5.0
Qualité na9sa,1.0
"I received 50 pc of different stickers each from a different anime, overall nice ????",4.0
Merci bon produit,5.0
واااااااو,5.0
Veryy cool posters!! I recommend if you want to cover your pc with good quality stickers.,5.0
"stickers de bonne qualité, et une grande variété d'anime (dragon ball, naruto, parasyte, hxh, jujutsu, myheroacademia, et encore plus...) je recommande à 100%",5.0
منتج ممتاز غير أنميات كيجيو عشوائيين,5.0
Merci bon produit,5.0
Autocollants divers bonne qualité,4.0
ملصقات رائعة,5.0
Medium quality ????‍♂️,3.0
je conseille,5.0
Low quality,1.0
il n'y a pas un mélange,3.0
Par rapport au prix il est pas mal seul bémol y’a une lumière celle pour passer les appels elle ne s’éteint pas quand tu utilises le casque et c’est dérangeant le soir,4.0
produit pas mal rapport prix/qualité,3.0
"Noise canceling and sound quality are perfect, comfortable to wear and really pretty. 10/10????",5.0
Correspond parfaitement,4.0
Kima li ftswira,5.0
"Very cool stickers, ara matls9, good quality too",5.0
عملي رائع,4.0
Si pas l'original,2.0
",rebuste et garde la charge presque toute la journé Vraiment je suis satisfait de ce produit",5.0
Tele zwin dyal salak rak tma o safe,5.0
"La batterie est trop faible, ne depasse pas 5 heures.",1.0
"Rien à signaler, fonctionne bien, solide.",5.0
La batterie de ce téléphone n'est pas du tout consistante... Elle n'a qu'un jour d'autonomie.,2.0
هاتف جيد و الخدمة جيدة شكرا جوميا,5.0
هاتف جيد مناسب شكرا جوميا,5.0
La vérité je suis satisfaite même ma mère qui l'a pris le trouve magnifique Bonne continuation,5.0
دون المستوى,1.0
Sa marche très bien mais après 1sem sa bug de fou,2.0
خدامين مزيان سلعة نقيا,5.0
Il faut pas s’attendre a une grande qualité mais niveau qualité prix c bon,4.0
Des ecouteurs qui font le taf mais il ne faut pas s'attendre a une grde qualite Bonne communication et bonne durée de charge.,4.0
bon produit qualité magnifique,4.0
Qualité correcte,5.0
Convenable,3.0
Super bon,5.0
un grand choix de fonctions utiles ..je peux ne garder a l ecran que les fonctions que je prefere. longue autonomie...le jumelage avec le smartphone via l application est facile....,5.0
ساعة رائعة لكن الإطار الأمامي مرتفع عن مكانه,2.0
J'ai demandé la couleur noire mais c'est pas noire,1.0
j'ai pas reçu le cadeau avec le support !!!!,3.0
Produit conforme à la description,4.0
بعد تجربة المنتوج ممتاز.. قوي ومرن ويمكن وضع الهاتف لوقت طويل ويبقى تابث .شكرا لكم ودائما اجد لديكم ما أريد,5.0
Mauvaise affaire tkharbi9a????,1.0
"Très utile,",3.0
Makhsch ykoun fiha lkhbachi wmakhsch t3waj,3.0
Ne supporte pas le poids d'une tablette. Manque de stabilité.,1.0
Utile !,5.0
"Support adaptable très utile, ce qui est important c'est qu'il ne tombe pas même si votre téléphone (ou tablette) est lourd. Je vous recommande le produit.",5.0
المنتوج وصل شكرا ????,5.0
Super produit,5.0
Produit normal,3.0
J'ai bcp aimé.merci,5.0
Pas Mal comme bande de rechange ;,4.0
زوينة و صغيرة,5.0
Super pratique avec les différents câbles. le powerbank tient vraiment longtemps. je recommande,5.0
Zwine bezaf,5.0
They aren’t much of a Sanrio character ????,4.0
Bonne qualité,4.0
"Merci au vendeur, un produit efficace , je le recommande",5.0
منتوج رائع,5.0
Je déconseille,1.0
Parfait ci vous cherchez un support pour votre téléphone de bonne qualité et prix bas. ( ! La hauteur du support reste fixe ),4.0
المنتج رائع شكرا لشركة جوميا ولكن توصيل غالي جدا وشكرا,3.0
dommage qu'il n'est pas de shema dedans. super dur a monter mais quand il est monter il est super cool,4.0
منتوج عملي بجودة عالية,5.0
qualité,5.0
Pas mal,4.0
"La montre est pratique pour mon fils, il l'a bien aimé.",4.0
"Quite responsive, does what its supposed to do except for the calls i dont know how they work or they dont. Used it for almost a month now still no problems",4.0
2 semaines d'autonomie batterie,5.0
La montre est telle qu'elle est décrite,5.0
Trés bon rapport q/p,5.0
Excellente qualité,5.0
"Not bad for the price, After using it for a while the battery doesn't last long enough",3.0
Good product,5.0
Pas mal,5.0
produit tré fini mais 20 jours de utilisation été bloque,1.0
Sava passable,5.0
L'étui est un peu grand mais fait très bien l'affaire,4.0
J'aime bien,4.0
Tsiet fach khdithom la3ala9a,1.0
Livraison rapide Bonne qualité,5.0
Satisfait au niveau de son et le maintien de la charge ok,5.0
ضهر مشكله الاصلية بعد 7 ايام هه السماعة على اليمين تضعف صوتها,1.0
"La qualité du son est faible, il faut franchir la barre du sécurité",2.0
Top,5.0
"Bon son, se décharge après 2 heures.",4.0
Je ne peux le supporter longtemps,2.0
الدقة و السرعة والجودة في الصوت وفي البطارية,5.0
سماعة رائعة بنسبة لثمنها و صوت جميل و لبطارية متواضعة شكرا لك أيها البائع,4.0
توصيل سريع جدا .. منتوج جيد من كل النواحي .. أوصي بالشراء وأوصي بالبائع كذلك .. شكرا جوميا (◉‿◉),5.0
Très bon qualité mais j'ai trouvé un problème avec la batterie ????,5.0
Tres bien,3.0
المنتوج جيد والخدم رائع,5.0
لا علاقة,1.0
لا علاقة,1.0
"La qualité dyaluu tooop , le son parfait ,Ida dertu juste 50% f le son kaysemee3 waaa3eeer ,je recommande !!!!",5.0
Zwinin,4.0
Bon son,5.0
On ne m'a pas envoyé la couleur demandée,3.0
منتوج لابأس به ... الحاجة الوحيدة اللي لا علاقة هو لكابلي د شارج ...,4.0
Bon qualité.... merci Jumia et Bonne chance au distributeur,5.0
Très bon service,5.0
Good. Really good for the price,5.0
Ça marche bien et la batterie bien résistant J'ai bien aimé,4.0
لا يعمل على جميع الالعاب,3.0
My brother loves this since i got it for him he uses it all the time it connects to all devices,5.0
ليس مدعوما من طرف العديد من الألعاب و حاملة الهاتف لا تتحمل وزن أي هاتف سواء كان صغيرا أو كبيرا حيث يسقط في الحال,2.0
Produit correspondant bien à la description,5.0
Fonctionne avec android et PC,4.0
بعد أسبوعين من الإستعمال، الساعة تعمل بشكل جيد، و تقوم بوظائفها العادية. الساعة ذات جودة جيدة و مظهر جميل و ثمن مناسب مقارنة بما تقدمه الساعة و مقارنة بساعات أخرى بالسوق. شكرا.,5.0
ساعة متواضعة. وضروري من تطبيق عاد كتخدم,4.0
"produit d'entrée de gamme, fait l'affaire.",4.0
Très bon,5.0
top! arrivé rapidement je conseille,5.0
Pratique pratique,4.0
La ponctualité,5.0
la précision et les options est????,5.0
ساعة متواضعة مع شاشة أموليد,4.0
Bon produit,4.0
Fiha mic ne9i,5.0
Le produit était utilisé déjà par quelqu'un d'autre,3.0
"J'ai reçu le produit dans un cours délai, livraison rapide et vraiment la montre Smart Watch est formidable !!!",5.0
ya9dar yatharas lik ila maraditich lih lbal mohim zwin kay adi lwajib,3.0
"Produit endommagé avant utilisation,",1.0
support n'est pas fort ne support pas le pois du camera et fixeuse du téléphone et très faible,1.0
وصول المنتج بعدة كسور مما يجعله غير صالح للعمل ، و على ما أظن أنه أرسل مكسورا عن قصد,5.0
البطارية ضعيفة,4.0
Puissant au niveau du son,4.0
توافق بين المتوقع و المنتج,4.0
منتج جيد سهل الاستخدام ... اعجبني خصوصا مؤشر قياس النوم و ضربات القلب و الصغط . مقاوم للماء دائما اسبح بها دون مشاكل . لكن يجب اضافة بعض الخاصيات كالرد على المكالمات من خلال الساعة,4.0
مابيهاش,3.0
Réglage horaire qui décale avec quelques jours d'utilisation il faut règler l'horaire chaque 2 ou 3 jours en la connectant avec le tel. الوقت لا يبقى محقق يجب عليك كل 2 او 3 أيام بضبط الوقت عن طريق ربطها بالهاتف,1.0
Montre bien. Application de conception trop faible,4.0
مكانا واعرة وثمن مناسب جدا واخا مافيهاش شي خصائص فحال الميكرو والسماعات ولكن واعرة ومقاومة للماء والبطارية ممتازة,4.0
livraison ultra rapide! produit excellent!,5.0
HD لا انصحكم بهذا المنتج شاشة ليست بدقة ومع ذلك جوميا لم تريد استرجاع المنتج,1.0
جودة رائعة مقارنة مع ماهو موجود فالسوق بنفس الثمن,5.0
Merci bon produit,5.0
mauvaise qualié,1.0
Très bon stickers ????????,5.0
Woooow,5.0
Très bon produit ????,5.0
Mselek mo9arana Batman manense7 bih,3.0
غير عملي,1.0
A éviter,1.0
"S'est cassé à l'ouverture de l'emballage,",1.0
Pas très pratique,3.0
C’est pratique,5.0
Fragile le téléphone tombe au premier secousse et en plus ça garde pas l'équilibre,3.0
"Support de téléphone ne se serre pas bien, Mauvaise qualité",1.0
غير تابت,2.0
Faire l'affaire comme dans la photo,5.0
Ce produit est de bonne qualité et je suis très content d avoir acheté ce dernier ????,5.0
zwinin o forma dyalhom sghar chwia,5.0
Mache che 7aaaja me me9bolin,4.0
على العموم ناضيين ولاكن راه قدهم قد ورقة ديال دفتار صغير راه ماشي كبار ولاكن كاليتي زينة و طبعة واضحة,4.0
zwinin walakin machi bzaf walakin m9belin +kayls9e,4.0
Superr,5.0
Très bonne qualité ????,5.0
Hosto p,5.0
السعر مرتفع,4.0
Inoxidable,5.0
Good product ????????,5.0
Rapport qualité prix,4.0
Bon qualité trés bien,5.0
Nul à ne pas acheter,1.0
À ne pas acheté,1.0
excellent,5.0
Pas pratique du tout,1.0
très bon produit le même que les photos,5.0
Exactement comme sur les photos et fonctionne normalement,5.0
منتوج جيد,5.0
Merci ????,5.0
Très pratique pour son prix,4.0
Compatible à la description,4.0
زويييين,5.0
ليس كما يتم وصفه,2.0
Il fonctionne trés bien sauf qu’il se dércharge vitement quand le ventilateur est en marche. Ne l’utiliser pas en tant que powerbank sinon il se déchargera encore plus vite.,4.0
"Un gaspillage d'argent, n'arrive pas même pas à supporter le téléphone. Impossible de garder une bonne fixation, je m'attendais à une qualité meilleure que celle la mais je suis déçu",1.0
انه دات جودة عالية وتمن رخيص,5.0
منتوج جيد,4.0
Pas mal,3.0
بالمقارنة مع الثمن مزيانة,5.0
مقارنة مع الثمن أوكي مابيهاش. تمنيت وكان كانت غير طويلة شوية,3.0
Très satisfaite merci,5.0
bien pas mal,5.0
جيدة وعمليا,4.0
Le trépieds marche bien très léger . En aluminium et plastique,3.0
Retard sur la livraison,2.0
Câble très bonne qualité et surtout le rapport qualité/ prix qui est excellent,5.0
bonne qualité,5.0
Magnifique!!!,5.0
Qualité de conception à améliorer: 1) Grand angle d'inclinaison de la fermeture de la boite (beaucoup vers le bas) 2) La fermeture se casse avec le temps au niveau de l'axe. À améliorer!,3.0
بحال الصورة تماما وعملي,5.0
Très bon produit magnifique,5.0
Pratique,4.0
